"cve_ent","poblacion","nombre","totalCasos","tasax100k"
"5018","251346","Monclova","139","55.3022"
"9004","199809","Cuajimalpa de Morelos","106","53.0506"
"9016","379624","Miguel Hidalgo","187","49.2592"
"3008","330312","Los Cabos","151","45.7143"
"9009","139371","Milpa Alta","57","40.8980"
"27004","739611","Centro","298","40.2914"
"25006","962871","Culiacan","372","38.6344"
"23005","844698","Benito Juarez","295","34.9237"
"9012","682234","Tlalpan","218","31.9538"
"19019","137614","San Pedro Garza Garcia","43","31.2468"
"9015","548606","Cuauhtemoc","171","31.1699"
"2004","1789531","Tijuana","547","30.5666"
"9008","245147","La Magdalena Contreras","73","29.7780"
"9006","393821","Iztacalco","115","29.2010"
"2002","1087478","Mexicali","317","29.1500"
"9002","408441","Azcapotzalco","116","28.4006"
"9014","433708","Benito Juarez","121","27.8989"
"9013","418060","Xochimilco","114","27.2688"
"23008","239850","Solidaridad","64","26.6833"
"9003","621952","Coyoacan","159","25.5646"
"16052","192153","Lazaro Cardenas","49","25.5005"
"9010","755537","Alvaro Obregon","192","25.4123"
"9017","433231","Venustiano Carranza","108","24.9289"
"9005","1176967","Gustavo A. Madero","282","23.9598"
"3003","301961","La Paz","72","23.8441"
"15037","290231","Huixquilucan","67","23.0850"
"27014","101901","Paraiso","23","22.5709"
"26055","206982","San Luis Rio Colorado","43","20.7747"
"9007","1815551","Iztapalapa","377","20.7650"
"21119","154192","San Andres Cholula","32","20.7533"
"15024","175004","Cuautitlan","36","20.5709"
"27013","149256","Nacajuca","30","20.0996"
"31050","963861","Merida","166","17.2224"
"9011","366586","Tlahuac","62","16.9128"
"2003","113857","Tecate","19","16.6875"
"15104","756537","Tlalnepantla de Baz","116","15.3330"
"23001","101106","Cozumel","15","14.8359"
"30028","152810","Boca del Rio","22","14.3969"
"21114","1698509","Puebla","238","14.0122"
"15058","1135786","Nezahualcoyotl","153","13.4708"
"13048","280312","Pachuca de Soto","37","13.1995"
"15060","441064","Nicolas Romero","55","12.4698"
"15057","910187","Naucalpan de Juarez","111","12.1952"
"21140","139635","San Pedro Cholula","17","12.1745"
"15013","557108","Atizapan de Zaragoza","62","11.1289"
"12029","284330","Chilpancingo de los Bravo","31","10.9028"
"15020","310743","Coacalco de Berriozabal","33","10.6197"
"2005","107859","Playas de Rosarito","11","10.1984"
"25001","480654","Ahome","49","10.1944"
"27005","217559","Comalcalco","22","10.1121"
"30193","626918","Veracruz","62","9.8896"
"4003","275478","Carmen","27","9.8011"
"17007","399426","Cuernavaca","38","9.5136"
