"cve_ent","poblacion","nombre","totalCasos","tasax100k"
"2004","1789531","Tijuana","294","16.4288"
"25006","962871","Culiacan","284","29.4951"
"9007","1815551","Iztapalapa","255","14.0453"
"2002","1087478","Mexicali","214","19.6785"
"9005","1176967","Gustavo A. Madero","208","17.6725"
"23005","844698","Benito Juarez","202","23.9138"
"21114","1698509","Puebla","199","11.7161"
"27004","739611","Centro","166","22.4442"
"9016","379624","Miguel Hidalgo","160","42.1469"
"9012","682234","Tlalpan","156","22.8660"
"9010","755537","Alvaro Obregon","146","19.3240"
"9015","548606","Cuauhtemoc","134","24.4255"
"31050","963861","Merida","119","12.3461"
"3008","330312","Los Cabos","117","35.4210"
"15058","1135786","Nezahualcoyotl","117","10.3012"
"5018","251346","Monclova","113","44.9579"
"9003","621952","Coyoacan","113","18.1686"
"15033","1707754","Ecatepec de Morelos","108","6.3240"
"9004","199809","Cuajimalpa de Morelos","96","48.0458"
"9014","433708","Benito Juarez","91","20.9818"
"9002","408441","Azcapotzalco","86","21.0556"
"9017","433231","Venustiano Carranza","86","19.8508"
"15057","910187","Naucalpan de Juarez","86","9.4486"
"9013","418060","Xochimilco","83","19.8536"
"15104","756537","Tlalnepantla de Baz","82","10.8388"
"9006","393821","Iztacalco","76","19.2981"
"8037","1464930","Juarez","75","5.1196"
"14039","1503505","Guadalajara","68","4.5227"
"1001","961977","Aguascalientes","66","6.8608"
"22014","976939","Queretaro","62","6.3463"
"15037","290231","Huixquilucan","60","20.6731"
"12001","840795","Acapulco de Juarez","56","6.6603"
"14120","1433360","Zapopan","53","3.6976"
"23008","239850","Solidaridad","51","21.2632"
"3003","301961","La Paz","50","16.5584"
"19039","1124835","Monterrey","49","4.3561"
"24028","870578","San Luis Potosi","48","5.5135"
"30193","626918","Veracruz","48","7.6565"
"9008","245147","La Magdalena Contreras","45","18.3563"
"19019","137614","San Pedro Garza Garcia","43","31.2468"
"11020","1679610","Leon","42","2.5005"
"15013","557108","Atizapan de Zaragoza","40","7.1799"
"15031","720207","Chimalhuacan","40","5.5539"
"15060","441064","Nicolas Romero","39","8.8422"
"15106","948950","Toluca","38","4.0044"
